title,url,ingredients,steps,uuid,categoria
Frape De Naranja,https://www.recetasgratis.net/receta-de-frape-de-naranja-49131.html,"2 cucharada(s) jugo de naranja
1/2 taza(s) vino dulce
1 cucharadita(s) azúcar Cáscara(s) de naranja cortada en espiral","1 Coloque los ingredientes en una coctelera, bata unos momentos. Sirva en vasos altos y adorne con los espirales de cáscara de naranja.",4e418704-3ed5-4fee-b68c-716165b661bb,bebida
Frape De Naranja,https://www.recetasgratis.net/receta-de-frape-de-naranja-49131.html,"2 cucharada(s) jugo de naranja
1/2 taza(s) vino dulce
1 cucharadita(s) azúcar Cáscara(s) de naranja cortada en espiral","1 Coloque los ingredientes en una coctelera, bata unos momentos. Sirva en vasos altos y adorne con los espirales de cáscara de naranja.",94d79606-cc39-4ef5-885f-856355b32cec,bebida
frape,https://www.recetasgratis.net/receta-de-frape-42570.html,"1 cucharada de vainilla
2 tazas de leche
3 cucharadas de café
15 cubos de hielo Helado de café
2
1/2 cucharadas de azúcar Galletas cremax",1 Se licua todo e septo el helado. Se sirve el un vaso y se le pone el helado y las galletas.,01b87a45-4e9f-40a2-870b-6c6a9c1a384f,bebida
