title,url,ingredients,steps,uuid,categoria
MARGARITA CLASICA,https://www.recetasgratis.net/receta-de-margarita-clasica-41106.html,"2 onzas de tequila blanco
1 onza de cointreau o curacao triple seco
1/2 onza de jugo de limón
4 cubos de hielo","1 Ponga jugo de limón en un plato, luego tome la copa y, boca abajo, haga que el jugo de limón humedezca el borde y luego de la misma forma coloque el borde de la copa sobre sal y pongala a enfriar en refrigerador (freezer). 
2 Vierta todos los ingredientes en el vaso mezclador y enfrie con la cucharilla durante 8 segundos. 
3 Sirva colando sobre la copa fría. 
4 Decore con una rodaja de limón, incrustado en el borde.",891d547b-6a28-46c2-af9b-750765980876,licor
MARGARITA DE FRAMBUESA,https://www.recetasgratis.net/receta-de-margarita-de-frambuesa-41107.html,"1 onza de zumo de limón
2 onzas de puré de Frambuesa
1 onza de jarabe de azúcar
1 onza de triple sec
1
1/2 onza de tequila blanco o moreno","1 Enfriar en una coctelera todos los ingredientes con hielo. 
2 Verter en un vaso Margarita escarchado con azúcar. 
3 Decorar con una rodaja de limón.",14161680-2c5c-404b-a3bd-2c43bf9e4477,licor
Margarita de fresa,https://www.recetasgratis.net/receta-de-margarita-de-fresa-11921.html,"120 tequila
60 licor de naranja
1 limón
20 fresas
60 azúcar azúcar para escarchar hielo","1 ¿Te preguntas cómo preparar margarita de fresa? Pues bien, para empezar con la receta primero debes congelar las fresas 1 hora. 
2 Escarcha dos copas para Martini con jugo de limón y azúcar. Para ello pasa el limón por alrededor del vaso y en un plato añade azúcar. Coloca las dos copas boca abajo para que adquieran el escarchado. 
3 Licua las fresas, el azúcar y el hielo. 
4 Vierte el líquido de margarita en los vasos y adorna con rodajas de fresas. ¡Listo para servir el margarita de fresa!¿Qué te ha parecido esta receta de margarita de fresa? Déjanos en los comentarios tu opinión.",b2de3b1d-47df-4af8-a249-8e81c746b1c8,licor
Margarita fresa,https://www.recetasgratis.net/receta-de-margarita-fresa-10121.html,"2 fresas El zumo de
1/4 de limon
2 cucharadita de azucar
1
1/2 caballito (1 1/2oz) de tequila Unas gotas de jarabe de fresa","1 Pica las fresas,poner en la licuadora todos los ingredientes con un poco de hielo picado. 
2 Licue a velocidad media por unos segundos. 
3 Servir en copas de cockel adornar con un popote cortado por la mitad.",f638180c-e581-4c8f-a60d-5293a97e69b2,licor
